word,pos,meaning,sentence,sentence_meaning
food,n.,食物,I prefer vegetarian food,
diet,n.,日常饮食；（医生指定的）特别饮食；节食,A sugar-free diet is recommended for diabetics,
appetite,n.,食欲；强烈欲望,I lost my appetite,
treat,v./n.,请客；对待；治疗/款待,It is my turn to treat us today,
cater,v.,为...提供饮食；满足...的需要,Our hotel also caters for weddings and parties,
provision,n.,供应、预备,Provision of shelter was the Red Cross's main concern for the disaster victims,
edible,adj.,可以吃的,Take something edible with you when you go there,
recipe,n.,食谱；秘诀,"In the recipe, it says that I must use two eggs",
restaurant,n.,餐馆,I had my breakfast in a small restaurant,
refectory,n.,（学校或其他机构）食堂、餐厅,The meal of the school refectory is healthy and delicious,
bar,n.,酒吧、吧台,"There weren't any free tables, so I sat on a stool at the bar",
cafeteria,n.,自助餐厅,"In the cafeteria, we serve ourselves",
buffet,n.,自助餐,We serve buffet during lunch time only,
barbecue,n./v.,烧烤野餐、烤架/烧烤,"I you're not busy Sunday, we'd love to have you both over for a barbecue",
supper,n.,晚餐,His wife made some pumpkin pie for supper,
banquet,n.,宴会,We met his foreign friends and gave a banquet in their honor,
refreshment,n.,茶点、点心,We only serve drinks and light refreshments on this short flight,
snack,n.,快餐、小吃、零食,Apples are a more nutritional snack than popcorn,
"appetiser, appetizer",n.,开胃饮料、开胃小菜,We served some crackers and cheese as an appetizer,
cuisine,n.,菜肴、烹饪,"Chinese cuisine is the perfect fusion of color, shape, appearance and flavor",
menu,n.,菜单,He called the waiter to bring the menu,
order,n./v.,订单、点的餐/点（酒菜等）,He gave his order to the waiter,
takeaway,n.,[英]外卖餐馆、外卖食物,Eat in or takeaway?,
chef,n.,厨师,There's only one chef in that grand hotel,
gourmet,n./adj.,美食家/美味佳肴的,The gourmet is very particular about food,
vegetarian,n./adj.,素食者/素食的、无肉的,I've become used to a vegetarian diet,
cutlery,n.,餐具、刀具,Knife and fork are the main cutlery used by the European people,
silver,n./adj.,银、银器/银的、银色的,She wore a silver chain around her neck,
ceramic,adj./n.,陶瓷的/陶瓷制品,The ceramic industry dates from the ancient times,
porcelain,n.,瓷器、瓷,The museum displays specimens of ancient Chinese porcelain,
bowl,n.,碗,I have a bowl of cereal every morning,
dish,n.,碟、菜肴,The careless waiter dropped the dish onto the ground,
saucer,n.,茶托、茶碟,He is drinking with a cup and saucer,
tray,n.,盘、托盘,He put the toast on the breakfast tray,
fork,n.,餐叉、分岔处,They usually eat with a knife and fork,
knife,n.,刀,He halved an apple with a knife,
spoon,n.,匙、调羹,His soup spoon dropped onto the ground,
glass,n.,玻璃、玻璃杯,I cut my hand on some broken glass,
mug,n.,大杯、马克杯,He asked me to make him a mug of coffee,
kettle,n.,水壶、[美]锅,The kettle is boiling,
pan,n.,平底锅、[美]烤盘,I cracked two eggs into the frying pan,
pot,n.,锅、壶,Will you help me wash up all these pots and pans?,
stove,n.,炉子,Please warm up this milk over the stove,
furnace,n.,熔炉；暖气炉,Would you please fire up the furnace?,
oven,n.,烤炉、烤箱,The bread is fresh out of the oven 新鲜出炉的面包,
tin,n.,锡、罐头,I never eat anything out of a tin,
lid,n.,盖子；眼睑，眼皮,He slammed the lid down,
drink,v./n.,饮、喝；喝酒/饮料,It is harmful to your health to drink too much,
beverage,n.,（水以外的）饮料,He is our regular supplier of beverages,
juice,n.,果汁、菜汁,She was drinking juice through a straw,
soda,n.,无碳酸钠的；苏打水；[美]汽水,He gave me a bottle of orange soda,
coffee,n.,咖啡,He put some sugar into his coffee,
alcohol,n.,酒精、乙醇、酒,The doctor told me to keep off alcohol,
